"Player","Span","Mat","Inns","NO","Runs","HS","Ave","100","50","0","InningsURL"
"RS Modi (IND)","1946-1952",10,17,1,736,"112",46,1,6,0,"https://stats.espncricinfo.com/ci/engine/player/31021.html?class=1;template=results;type=batting;view=innings"
"EAS Prasanna (IND)","1962-1978",49,84,20,735,"37",11.48,0,0,15,"https://stats.espncricinfo.com/ci/engine/player/32357.html?class=1;template=results;type=batting;view=innings"
"FR Brown (ENG)","1931-1953",22,30,1,734,"79",25.31,0,5,1,"https://stats.espncricinfo.com/ci/engine/player/9255.html?class=1;template=results;type=batting;view=innings"
"PJ Moor (IRE/ZIM)","2016-2025",15,30,1,734,"83",25.31,0,6,4,"https://stats.espncricinfo.com/ci/engine/player/333000.html?class=1;template=results;type=batting;view=innings"
"RW Morgan (NZ)","1965-1972",20,34,1,734,"97",22.24,0,5,5,"https://stats.espncricinfo.com/ci/engine/player/37727.html?class=1;template=results;type=batting;view=innings"
"JJ Lyons (AUS)","1887-1897",14,27,0,731,"134",27.07,1,3,1,"https://stats.espncricinfo.com/ci/engine/player/6328.html?class=1;template=results;type=batting;view=innings"
"J Arun Lal (IND)","1982-1989",16,29,1,729,"93",26.03,0,6,1,"https://stats.espncricinfo.com/ci/engine/player/26295.html?class=1;template=results;type=batting;view=innings"
"MD Bell (NZ)","1998-2008",18,32,2,729,"107",24.3,2,3,7,"https://stats.espncricinfo.com/ci/engine/player/36294.html?class=1;template=results;type=batting;view=innings"
"DJ Nash (NZ)","1992-2001",32,45,14,729,"89*",23.51,0,4,5,"https://stats.espncricinfo.com/ci/engine/player/38008.html?class=1;template=results;type=batting;view=innings"
"W Barnes (ENG)","1880-1890",21,33,2,725,"134",23.38,1,5,3,"https://stats.espncricinfo.com/ci/engine/player/8998.html?class=1;template=results;type=batting;view=innings"
"N Deonarine (WI)","2005-2013",18,30,2,725,"82",25.89,0,5,3,"https://stats.espncricinfo.com/ci/engine/player/51659.html?class=1;template=results;type=batting;view=innings"
"CB van Ryneveld (SA)","1951-1958",19,33,6,724,"83",26.81,0,3,2,"https://stats.espncricinfo.com/ci/engine/player/47704.html?class=1;template=results;type=batting;view=innings"
"CS Dempster (NZ)","1930-1933",10,15,4,723,"136",65.72,2,5,0,"https://stats.espncricinfo.com/ci/engine/player/36827.html?class=1;template=results;type=batting;view=innings"
"WW Read (ENG)","1882-1893",18,27,1,720,"117",27.69,1,5,0,"https://stats.espncricinfo.com/ci/engine/player/19352.html?class=1;template=results;type=batting;view=innings"
"NV Knight (ENG)","1995-2001",17,30,0,719,"113",23.96,1,4,1,"https://stats.espncricinfo.com/ci/engine/player/15913.html?class=1;template=results;type=batting;view=innings"
"Asim Kamal (PAK)","2003-2005",12,20,1,717,"99",37.73,0,8,2,"https://stats.espncricinfo.com/ci/engine/player/39041.html?class=1;template=results;type=batting;view=innings"
"AV Bedser (ENG)","1946-1955",51,71,15,714,"79",12.75,0,1,11,"https://stats.espncricinfo.com/ci/engine/player/9057.html?class=1;template=results;type=batting;view=innings"
"KAR Hodge (WI)","2024-2025",13,26,1,714,"123*",28.56,2,3,4,"https://stats.espncricinfo.com/ci/engine/player/348091.html?class=1;template=results;type=batting;view=innings"
"RG Archer (AUS)","1953-1956",19,30,1,713,"128",24.58,1,2,4,"https://stats.espncricinfo.com/ci/engine/player/3980.html?class=1;template=results;type=batting;view=innings"
"JP Greaves (WI)","2024-2025",14,28,4,712,"202*",29.66,2,1,2,"https://stats.espncricinfo.com/ci/engine/player/510823.html?class=1;template=results;type=batting;view=innings"
"DG Brownlie (NZ)","2011-2013",14,25,1,711,"109",29.62,1,4,3,"https://stats.espncricinfo.com/ci/engine/player/4493.html?class=1;template=results;type=batting;view=innings"
"JDS Neesham (NZ)","2014-2017",12,22,1,709,"137*",33.76,2,4,2,"https://stats.espncricinfo.com/ci/engine/player/355269.html?class=1;template=results;type=batting;view=innings"
"D Bishoo (WI)","2011-2018",36,61,15,707,"45",15.36,0,0,10,"https://stats.espncricinfo.com/ci/engine/player/341593.html?class=1;template=results;type=batting;view=innings"
"VY Richardson (AUS)","1924-1936",19,30,0,706,"138",23.53,1,1,5,"https://stats.espncricinfo.com/ci/engine/player/7346.html?class=1;template=results;type=batting;view=innings"
"KD Petersen (SA)","2021-2024",14,25,0,704,"82",28.16,0,4,0,"https://stats.espncricinfo.com/ci/engine/player/485676.html?class=1;template=results;type=batting;view=innings"
"LJ Tucker (IRE)","2023-2025",9,18,2,703,"108",43.93,1,4,1,"https://stats.espncricinfo.com/ci/engine/player/928057.html?class=1;template=results;type=batting;view=innings"
"W Bruce (AUS)","1885-1895",14,26,2,702,"80",29.25,0,5,1,"https://stats.espncricinfo.com/ci/engine/player/4228.html?class=1;template=results;type=batting;view=innings"
"ARS Silva (SL)","2017-2019",12,23,3,702,"109",35.1,1,5,2,"https://stats.espncricinfo.com/ci/engine/player/237310.html?class=1;template=results;type=batting;view=innings"
"EJG Morgan (ENG)","2010-2012",16,24,1,700,"130",30.43,2,3,4,"https://stats.espncricinfo.com/ci/engine/player/24598.html?class=1;template=results;type=batting;view=innings"
"M Ntini (SA)","1998-2009",101,116,45,699,"32*",9.84,0,0,21,"https://stats.espncricinfo.com/ci/engine/player/46592.html?class=1;template=results;type=batting;view=innings"
"EL Dalton (SA)","1929-1939",15,24,2,698,"117",31.72,2,3,1,"https://stats.espncricinfo.com/ci/engine/player/44673.html?class=1;template=results;type=batting;view=innings"
"WM Darling (AUS)","1978-1979",14,27,1,697,"91",26.8,0,6,1,"https://stats.espncricinfo.com/ci/engine/player/4900.html?class=1;template=results;type=batting;view=innings"
"DR Pringle (ENG)","1982-1992",30,50,4,695,"63",15.1,0,1,6,"https://stats.espncricinfo.com/ci/engine/player/18627.html?class=1;template=results;type=batting;view=innings"
"IC Davis (AUS)","1973-1977",15,27,1,692,"105",26.61,1,4,3,"https://stats.espncricinfo.com/ci/engine/player/4916.html?class=1;template=results;type=batting;view=innings"
"AR Patel (IND)","2021-2025",15,24,4,688,"84",34.4,0,4,1,"https://stats.espncricinfo.com/ci/engine/player/554691.html?class=1;template=results;type=batting;view=innings"
"Faheem Ashraf (PAK)","2018-2023",17,27,1,687,"91",26.42,0,4,4,"https://stats.espncricinfo.com/ci/engine/player/681117.html?class=1;template=results;type=batting;view=innings"
"Hanumant Singh (IND)","1964-1969",14,24,2,686,"105",31.18,1,5,3,"https://stats.espncricinfo.com/ci/engine/player/29260.html?class=1;template=results;type=batting;view=innings"
"Al Sahariar (BAN)","2000-2003",15,30,0,683,"71",22.76,0,4,2,"https://stats.espncricinfo.com/ci/engine/player/56219.html?class=1;template=results;type=batting;view=innings"
"CJ Anderson (NZ)","2013-2016",13,22,1,683,"116",32.52,1,4,3,"https://stats.espncricinfo.com/ci/engine/player/277662.html?class=1;template=results;type=batting;view=innings"
"FL Fane (ENG)","1906-1910",14,27,1,682,"143",26.23,1,3,3,"https://stats.espncricinfo.com/ci/engine/player/12807.html?class=1;template=results;type=batting;view=innings"
"VA Holder (WI)","1969-1979",40,59,11,682,"42",14.2,0,0,7,"https://stats.espncricinfo.com/ci/engine/player/52061.html?class=1;template=results;type=batting;view=innings"
"A Bacher (SA)","1965-1970",12,22,1,679,"73",32.33,0,6,1,"https://stats.espncricinfo.com/ci/engine/player/44026.html?class=1;template=results;type=batting;view=innings"
"JR Thomson (AUS)","1972-1985",51,73,20,679,"49",12.81,0,0,14,"https://stats.espncricinfo.com/ci/engine/player/7946.html?class=1;template=results;type=batting;view=innings"
"JC Laker (ENG)","1948-1959",46,63,15,676,"63",14.08,0,2,6,"https://stats.espncricinfo.com/ci/engine/player/16172.html?class=1;template=results;type=batting;view=innings"
"JB Statham (ENG)","1951-1965",70,87,28,675,"38",11.44,0,0,13,"https://stats.espncricinfo.com/ci/engine/player/20341.html?class=1;template=results;type=batting;view=innings"
"DS Steele (ENG)","1975-1976",8,16,0,673,"106",42.06,1,5,1,"https://stats.espncricinfo.com/ci/engine/player/20345.html?class=1;template=results;type=batting;view=innings"
"J Garner (WI)","1977-1987",58,68,14,672,"60",12.44,0,1,17,"https://stats.espncricinfo.com/ci/engine/player/51876.html?class=1;template=results;type=batting;view=innings"
"DW Lawrence (ENG)","2021-2024",14,27,2,671,"91",26.84,0,4,5,"https://stats.espncricinfo.com/ci/engine/player/641423.html?class=1;template=results;type=batting;view=innings"
"T Chanderpaul (WI)","2022-2025",13,25,2,670,"207*",29.13,1,2,2,"https://stats.espncricinfo.com/ci/engine/player/601968.html?class=1;template=results;type=batting;view=innings"
"MJ Henry (NZ)","2015-2025",33,45,6,670,"72",17.17,0,4,9,"https://stats.espncricinfo.com/ci/engine/player/506612.html?class=1;template=results;type=batting;view=innings"
"H Verity (ENG)","1931-1939",40,44,12,669,"66*",20.9,0,3,4,"https://stats.espncricinfo.com/ci/engine/player/22185.html?class=1;template=results;type=batting;view=innings"
"BA Pocock (NZ)","1993-1997",15,29,0,665,"85",22.93,0,6,4,"https://stats.espncricinfo.com/ci/engine/player/38127.html?class=1;template=results;type=batting;view=innings"
"JJ Kelly (AUS)","1896-1905",36,56,17,664,"46*",17.02,0,0,7,"https://stats.espncricinfo.com/ci/engine/player/6136.html?class=1;template=results;type=batting;view=innings"
"DPB Morkel (SA)","1927-1932",16,28,1,663,"88",24.55,0,4,3,"https://stats.espncricinfo.com/ci/engine/player/46246.html?class=1;template=results;type=batting;view=innings"
